date,symbol,marketcapname,sector,price,today,quantity,bought value,current value,pl,,,Actual Sell,pl,,
13/08/25,TECHNOE,Midcap,Realty,1440.99,1227.40,7,10086.90,8591.80,-1495.10,,,,,,
28/05/25,TECHNOE,Midcap,Realty,1426.18,1227.40,7,9983.24,8591.80,-1391.44,,,,,,
09/07/25,THEJO,Smallcap,Industrials,2182.44,1690.80,5,10912.18,8454.00,-2458.18,,,,,,
09/10/25,THEMISMED,Smallcap,Healthcare,131.50,116.96,76,9994.00,8888.96,-1105.04,,,,,,
17/07/25,THERMAX,Largecap,Industrials,3906.90,3006.00,3,11720.70,9018.00,-2702.70,,,,,,
17/07/25,THOMASCOOK,Midcap,Miscellaneous,179.53,154.55,56,10053.46,8654.80,-1398.66,,,,,,
30/05/25,TIIL,Midcap,Metals & Mining,3119.83,2493.40,3,9359.48,7480.20,-1879.28,,,,,,
31/10/25,TNPETRO,Smallcap,Energy,125.00,108.97,80,10000.00,8717.60,-1282.40,,,,,,
04/07/25,TNPL,Smallcap,Building Materials,182.43,147.38,55,10033.41,8105.90,-1927.51,,,,,,
06/08/25,TRANSRAILL,Midcap,Realty,793.83,652.00,13,10319.83,8476.00,-1843.83,,,,,,
03/07/25,TRANSRAILL,Midcap,Realty,728.75,652.00,14,10202.50,9128.00,-1074.50,,,,,,
28/05/25,TRIVENI,Midcap,FMCG,449.78,365.10,22,9895.20,8032.20,-1863.00,,,,,,
24/04/25,TRIVENI,Midcap,FMCG,434.54,365.10,23,9994.44,8397.30,-1597.14,,,,,,
28/10/25,TTKPRESTIG,Midcap,Consumer Discretionary,709.00,663.55,14,9926.00,9289.70,-636.30,,,,,,
13/11/25,TVSELECT,Smallcap,I.T,672.90,662.95,15,10093.50,9944.25,-149.25,,,,,,
16/05/25,UFLEX,Smallcap,Industrials,611.88,519.70,16,9790.10,8315.20,-1474.90,,,,,,
28/05/25,UNIMECH,Midcap,Aerospace & Defence,1218.00,1002.30,8,9744.00,8018.40,-1725.60,,,,,,
29/07/25,MANGCHEFER,Smallcap,Chemicals,,,,,,,,,,,,
01/04/25,VADILALIND,Smallcap,FMCG,5131.22,5117.00,2,10262.45,10234.00,-28.45,,,,,,
30/10/25,VAIBHAVGBL,Smallcap,Consumer Discretionary,273.64,265.10,37,10124.56,9808.70,-315.86,,,,,,
29/09/25,VASCONEQ,Smallcap,Realty,71.15,57.37,141,10032.15,8089.17,-1942.98,,,,,,
16/09/25,VASCONEQ,Smallcap,Realty,63.39,57.37,158,10015.62,9064.46,-951.16,,,,,,
16/07/25,VASCONEQ,Smallcap,Realty,59.60,57.37,168,10012.80,9638.16,-374.64,,,,,,
05/09/25,VASCONEQ,Smallcap,Realty,57.49,57.37,174,10003.26,9982.38,-20.88,,,,,,
15/09/25,VEEDOL,Smallcap,Chemicals,1948.50,1754.70,5,9742.50,8773.50,-969.00,,,,,,
08/07/25,VENUSPIPES,Smallcap,Metals & Mining,1591.52,1292.80,6,9549.10,7756.80,-1792.30,,,,,,
02/07/25,VENUSPIPES,Smallcap,Metals & Mining,1484.46,1292.80,7,10391.19,9049.60,-1341.59,,,,,,
24/07/25,VIJAYA,Midcap,Healthcare,1107.72,1060.40,9,9969.47,9543.60,-425.87,,,,,,
03/09/25,VIMTALABS,Smallcap,Healthcare,815.00,638.70,12,9780.00,7664.40,-2115.60,,,,,,
02/09/25,VIMTALABS,Smallcap,Healthcare,792.10,638.70,13,10297.30,8303.10,-1994.20,,,,,,
29/07/25,VIMTALABS,Smallcap,Healthcare,699.95,638.70,14,9799.30,8941.80,-857.50,,,,,,
28/07/25,VIMTALABS,Smallcap,Healthcare,671.95,638.70,15,10079.25,9580.50,-498.75,,,,,,
23/05/25,VINDHYATEL,Smallcap,Realty,1612.84,1572.40,6,9677.02,9434.40,-242.62,,,,,,
14/07/25,VIPIND,Midcap,Plastic products,481.65,398.35,21,10114.65,8365.35,-1749.30,,,,,,
11/06/25,VIPIND,Midcap,Plastic products,415.00,398.35,24,9960.00,9560.40,-399.60,,,,,,
30/07/25,VISHNU,Smallcap,Chemicals,555.65,493.55,18,10001.69,8883.90,-1117.79,,,,,,
22/05/25,VRLLOG,Smallcap,Transportation,290.15,278.60,34,9865.13,9472.40,-392.73,,,,,,
21/10/25,VSSL,Smallcap,Metals & Mining,303.00,280.70,33,9999.00,9263.10,-735.90,,,,,,
29/09/25,VSSL,Smallcap,Metals & Mining,286.35,280.70,35,10022.25,9824.50,-197.75,,,,,,
