Date,Scheme,Units,,
 14-Jul-2023,LIC PENSION FUND SCHEME C - TIER I Units,1348.50,,
 01-Aug-2023,LIC PENSION FUND SCHEME C - TIER I Units,1369.33,,
 01-Sep-2023,LIC PENSION FUND SCHEME C - TIER I Units,1390.07,,
 03-Oct-2023,LIC PENSION FUND SCHEME C - TIER I Units,1410.70,,
 07-Oct-2023,LIC PENSION FUND SCHEME C - TIER I Units,1410.54,,
 23-Oct-2023,LIC PENSION FUND SCHEME C - TIER I Units,1575.96,,
 01-Nov-2023,LIC PENSION FUND SCHEME C - TIER I Units,1598.29,,
 01-Dec-2023,LIC PENSION FUND SCHEME C - TIER I Units,1620.50,,
 26-Dec-2023,LIC PENSION FUND SCHEME C - TIER I Units,1315.12,,
 28-Dec-2023,LIC PENSION FUND SCHEME C - TIER I Units,1315.12,,
 01-Jan-2024,LIC PENSION FUND SCHEME C - TIER I Units,1332.06,,
 06-Jan-2024,LIC PENSION FUND SCHEME C - TIER I Units,1331.89,,
 01-Feb-2024,LIC PENSION FUND SCHEME C - TIER I Units,1348.67,,
 01-Mar-2024,LIC PENSION FUND SCHEME C - TIER I Units,1365.34,,
 02-Apr-2024,LIC PENSION FUND SCHEME C - TIER I Units,1381.86,,
 06-Apr-2024,LIC PENSION FUND SCHEME C - TIER I Units,1381.73,,
 02-May-2024,LIC PENSION FUND SCHEME C - TIER I Units,1398.21,,
 03-Jun-2024,LIC PENSION FUND SCHEME C - TIER I Units,1414.54,,
 01-Jul-2024,LIC PENSION FUND SCHEME C - TIER I Units,1430.79,,
 06-Jul-2024,LIC PENSION FUND SCHEME C - TIER I Units,1430.67,,
 01-Aug-2024,LIC PENSION FUND SCHEME C - TIER I Units,1446.77,,
 02-Sep-2024,LIC PENSION FUND SCHEME C - TIER I Units,1462.74,,
 01-Oct-2024,LIC PENSION FUND SCHEME C - TIER I Units,1478.55,,
 05-Oct-2024,LIC PENSION FUND SCHEME C - TIER I Units,1478.43,,
 04-Nov-2024,LIC PENSION FUND SCHEME C - TIER I Units,1494.12,,
